BaseBeh,BarBeh,WorkBeh,LightBeh,HeavyBeh,RangedBeh,Fit01,Fit02,Fit03,Fit04,Fit05,Fit06,Fit07,Fit08,Fit09,Fit10,Fit11,Fit12,Fit13,Fit14,FitTot
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSHP,LESSPERCHP,1110.0,900.0,-80.0,1110.0,120.0,120.0,-200.0,-40.0,1060.0,910.0,910.0,-410.0,380.0,520.0,6410.0
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSHP,CLOSEST,1110.0,900.0,-80.0,1110.0,120.0,120.0,-200.0,-40.0,1140.0,910.0,910.0,-410.0,380.0,520.0,6490.0
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSHP,CLOSESTDIRECT,1110.0,900.0,-80.0,1110.0,120.0,120.0,-200.0,-40.0,1060.0,910.0,910.0,-410.0,380.0,520.0,6410.0
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSHP,WAIT,1110.0,900.0,-80.0,1110.0,120.0,120.0,-200.0,-40.0,1090.0,910.0,910.0,-410.0,380.0,520.0,6440.0
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSHP,CLOSBUIL,1110.0,900.0,-80.0,1110.0,120.0,120.0,-200.0,-40.0,1150.0,910.0,910.0,-410.0,380.0,520.0,6500.0
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSPERCHP,LESSHP,1110.0,900.0,-80.0,1110.0,120.0,120.0,-200.0,-40.0,1120.0,910.0,910.0,-410.0,380.0,520.0,6470.0
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSPERCHP,LESSPERCHP,1110.0,900.0,-80.0,1110.0,120.0,120.0,-200.0,-40.0,1080.0,910.0,910.0,-410.0,380.0,520.0,6430.0
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSPERCHP,CLOSEST,1110.0,900.0,-80.0,1110.0,120.0,120.0,-200.0,-40.0,850.0,910.0,910.0,-410.0,380.0,520.0,6200.0
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSPERCHP,CLOSESTDIRECT,1110.0,900.0,-80.0,1110.0,120.0,120.0,-200.0,-40.0,1140.0,910.0,910.0,-410.0,380.0,520.0,6490.0
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSPERCHP,WAIT,1110.0,900.0,-80.0,1110.0,120.0,120.0,-200.0,-40.0,1040.0,910.0,910.0,-410.0,380.0,520.0,6390.0
